Digital image name	Thumbnail Type
BL46_OR8210-S4632-R1_001	Recto
BL101_OR8212-918-18-R01	Recto
BL60_OR8210-P9-R1_001	Recto
BL67_OR8210-S227-W01	Recto
BL77_OR8212-184-A1-R01	Recto
BL77_OR8212-184-A10-R01	Recto
BL77_OR8212-184-A2-R01	Recto
BL77_OR8212-184-A3-R01	Recto
BL77_OR8212-184-A4-R01	Recto
BL77_OR8212-184-A5-R01	Recto
BL77_OR8212-184-A6-R01	Recto
BL77_OR8212-184-A7-R01	Recto
BL77_OR8212-184-A8-R01	Recto
BL77_OR8212-184-A9-R01	Recto
BL77_OR8212-185-A1-R01	Recto
BL77_OR8212-185-A10-R01	Recto
BL77_OR8212-185-A11-R01	Recto
BL77_OR8212-185-A12-R01	Recto
BL77_OR8212-185-A13-R01	Recto
BL77_OR8212-185-A14-R01	Recto
BL77_OR8212-185-A15-R01	Recto
BL77_OR8212-185-A16-R01	Recto
BL77_OR8212-185-A17-R01	Recto
BL77_OR8212-185-A18-R01	Recto
BL77_OR8212-185-A19-R01	Recto
BL77_OR8212-185-A2-R01	Recto
BL77_OR8212-185-A20-R01	Recto
BL77_OR8212-185-A21-R01	Recto
BL77_OR8212-185-A22-R01	Recto
BL77_OR8212-185-A23-R01	Recto
BL77_OR8212-185-A24-R01	Recto
BL77_OR8212-185-A25-R01	Recto
BL77_OR8212-185-A26-R01	Recto
BL77_OR8212-185-A27-R01	Recto
BL77_OR8212-185-A28-R01	Recto
BL77_OR8212-185-A29-R01	Recto
BL77_OR8212-185-A3-R01	Recto
BL77_OR8212-185-A30-R01	Recto
BL77_OR8212-185-A31-R01	Recto
BL77_OR8212-185-A32-R01	Recto
BL77_OR8212-185-A33-R01	Recto
BL77_OR8212-185-A34-R01	Recto
BL77_OR8212-185-A35-R01	Recto
BL77_OR8212-185-A36-R01	Recto
BL77_OR8212-185-A37-R01	Recto
BL77_OR8212-185-A38-R01	Recto
BL77_OR8212-185-A39-R01	Recto
BL77_OR8212-185-A4-R01	Recto
BL77_OR8212-185-A5-R01	Recto
BL77_OR8212-185-A6-R01	Recto
BL77_OR8212-185-A7-R01	Recto
BL77_OR8212-185-A8-R01	Recto
BL77_OR8212-185-A9-R01	Recto
BL77_OR8212-185-B-R01	Recto
BL77_OR8212-185-DEBRIS1-R01	Recto
BL77_OR8212-185-DEBRIS2-R01	Recto
BL78_OR8212-1211-R01	Recto
BL78_OR8212-1216-a-R01	Recto
BL78_OR8212-1216-b-R01	Recto
BL78_OR8212-1219-R01	Recto
BL78_OR8212-1219-V01	Verso
BL78_OR8212-1220-R01	Recto
BL78_OR8212-1221-a-R01	Recto
BL78_OR8212-1221-a-V01	Verso
BL78_OR8212-1221-b-R01	Recto
BL78_OR8212-1221-b-RE01	Recto
BL78_OR8212-1221-c-R01	Recto
BL78_OR8212-1224-a-R01	Recto
BL78_OR8212-1224-b-R01	Recto
BL78_OR8212-1242-R01	Recto
BL78_OR8212-1243-R01	Recto
BL78_OR8212-1243-V01	Verso
