Institute id	Institute URL
AIC	
AKU	Dr. Lilla Russell-Smith, Kuratorin fur Zentralasiatische Kunst, Museum fur Asiatische Kunst, Kunstsammlung Sud-, Sudost- und Zentralasien, Staatliche Museen zu Berlin - Preußischer Kulturbesitz, Takustr 40, 14195 Berlin; Fon: +49 30 8301-364; Fax: +49 30 8301-502; l.russell-smith@smb.spk-berlin.de; www.smb.museum
AS	Fu Ssu-nien Library<br> Institute of History and Philology<br> Academia Sinica<br> Nan-Kang Taipei 11529<br> Taiwan<br> <a href="http://lib.ihp.sinica.edu.tw/" target="_blank">Library website</a>
BBAW	Depositum der BERLIN-BRANDENBURGISCHEN AKADEMIE DER WISSENSCHAFTEN in der STAATSBIBLIOTHEK ZU BERLIN - Preussischer Kulturbesitz, Orientabteilung <p>Potsdamer Strasse 33 10785 Berlin; Briefe: 10772 BERLIN; Pakete: Tiergarten Potsdamer Strasse 33 10785 Berlin; Telefon: +049-30-266-435806 oder 266-0; Telefax: +49-30-266-439956; E-mail: orientabt@sbb.spk-berlin.de</p>
BL	96 Euston Road<br> London NW1 2DB, UK<br> tel: +44 (0)20 7412 7000<br> <a href="http://www.bl.uk" target="_blank">website</a>
BM	Great Russell Street<br>London WC1B 3DG, UK<br> tel: +44 (0)20 7323 8000<br><a href="http://www.britishmuseum.org" target="_blank">website</a>
BNF	58, rue de Richelieu <br>75002 Paris <br>France <br>+33 (0)1 53 79 59 59 <br><a href="http://www.bnf.fr">http://www.bnf.fr</a>
CAM	
CBL	Dublin Castle Dublin 2, Ireland<BR><a href="http://www.cbl.ie" target="_blank">website</a><br>Director: <a href="mailto:mryan@cbl.ie">Dr Michael Ryan</a><br>Curator of the East Asian Collections: <a href="mailto:smccausland@cbl.ie">Shane MacCausland</a>
CFM	
DHA	
DIA	
DXBWG	
FR	Jefferson Drive at 12th St. SW<br> Washington DC 20650-0707 USA<br> <a href="http://www.asia.si.edu" target="_blank">Institute website</a><br> <a href="mailto:joseph.chang@asia.si.edu">Joseph Chang</a><br> <a href="mailto:Stephen.Allee@asia.si.edu">Stephen Allee</a>
GSBWG	
HKU	University of Hong Kong <br>94 Bonham Road <br>Pokfulam <br>Hong Kong <br><a href="http://www.hku.hk/hkumag" target="_blank">www.hku.hk/hkumag</a> email: <a href="mailto:ayfwonga@hkucc.hku.hk">Anita WONG Yin-fong</a>
IMIA	
IOS	
KCWWS	
KGL	Soren Kierkegaards Plads 1?<br>Kobenhavn K, Denmark. <br>Tel: +45 3347 4887 <br>Fax: +45 3393 2218 <br>Email: blp@kb.dk <br>Website: <a href="http://www.kb.dk">http://www.kb.dk</a>
KTWWS	
LHAS	<a href="mailto:keleti@konyvtar.mta.hu">Agnes Kelecsényi</a>
LL	Private collection.
LYS	
MCA	
MFAB	
MG	6, place d'Iéna <br>75016 Paris <br>France <br>+33 (0)1 56 52 53 00
MIHO	
NLC	33 Zhongguancun Nandajie<br> Haidian district<br> Beijing 100081<br> People's Republic of China<br> Tel: +86 (0)10 8854 4114<br> <a href="http://www.nlc.gov.cn/GB/channel1/index.html" target="_blank">website</a>
NMI	
NRI	Needham Research Institute <br>8 Sylvester Road <br>Cambridge CB3 9AF <br><a href="http://www.nri.org.uk" target="_blank">www.nri.org.uk <br>+44 (0) 1223 311545
OXB	
PEAL	<br>East Asian Library <br>33 Frist Campus Center <br>Room 317 <br>Princeton University <br>Princeton, NJ 08544 <br>USA <br>Tel: +1 (609) 258-3182 <br>Fax: +1(609) 258-4573 <br><a href="http://http://eastasianlib.princeton.edu/index.htm" target="_blank">http://eastasianlib.princeton.edu/index.htm</a>
PM	225 Madison Avenue<br>New York<br>NY 10016-2305 USA<br>Website: <a href="http://www.themorgan.org" target="_blank">www.themorgan.org</a>
PMA	
PUAM	See <a href="www.princetonartmuseum.org/" target="_blank">the Museum website</a> for details.
RIKS	Korea University, Anam-dong Seongbuk-gu, Seoul<br> 136-701, KOREA<br> Phone: +82-2-3290-2494<br> Fax:+82-2-3290-2596
RO	125-1 Daiku-cho, Shichijo-dori Omiya Higashi-iru,<br> Shimogyo-ku, Kyoto, JAPAN<br> 600-8268<br> tel: +81-75-343-3318<br> fax: +81-75-344-0345<br> <a href="http://opac.lib.ryukoku.ac.jp/web/index.htm">website</a>
SF	15D Clifford Street, London W1S 4JZ <a href="http://www.samfogg.com" target="_blank">website</a>
SH	
SMVK-EM	
TFWWJ	
TJA	
TNCL	<a href="mailto:hmyu@ncl.edu.tw">Hsiao-ming Yu,</a> Director of Special Collections Division.
UCLA	Box 951575<br> Los Angeles, CA 90095-1575 USA<br> <a href="http://www.library.ucla.edu/libraries/eastasian" target="_blank">website</a><br> Librarian: <a href="mailto:ctsiang@library.ucla.edu">Amy Tsiang</a>
V&A	<a href="mailto:b.mckillop@vam.ac.uk">Beth McKillop</a>, Keeper of the Asian Department Victoria and Albert Museum Cromwell Road London, SW7 2RL, UK <a href="http://www.vam.ac.uk" target="_blank">V&A website
XJIA	
