Pressmark	Institute id
Photo 1118/1(100)	IDP
Photo 1118/1(101)	IDP
Photo 1118/1(102)	IDP
Photo 1118/1(103)	IDP
Photo 1118/1(104)	IDP
Photo 1118/1(105)	IDP
Photo 1118/1(106)	IDP
Photo 1118/1(107)	IDP
Photo 1118/1(108)	IDP
Photo 1118/1(109)	IDP
Photo 1118/1(110)	IDP
Photo 1118/1(111)	IDP
Photo 1118/1(112)	IDP
Photo 1118/1(113)	IDP
Photo 1118/1(114)	IDP
Photo 1118/1(115)	IDP
Photo 1118/1(116)	IDP
Photo 1118/1(117)	IDP
Photo 1118/1(118)	IDP
Photo 1118/1(119)	IDP
Photo 1118/1(120)	IDP
Photo 1118/1(121)	IDP
Photo 1118/1(122)	IDP
Photo 1118/1(123)	IDP
Photo 1118/1(124)	IDP
Photo 1118/1(125)	IDP
Photo 1118/1(126)	IDP
Photo 1118/1(127)	IDP
Photo 1118/1(128)	IDP
Photo 1118/1(129)	IDP
Photo 1118/1(130)	IDP
Photo 1118/1(131)	IDP
Photo 1118/1(132)	IDP
Photo 1118/1(133)	IDP
Photo 1118/1(134)	IDP
Photo 1118/1(135)	IDP
Photo 1118/1(136)	IDP
Photo 1118/1(137)	IDP
Photo 1118/1(138)	IDP
Photo 1118/1(139)	IDP
Photo 1118/1(140)	IDP
Photo 1118/1(141)	IDP
Photo 1118/1(142)	IDP
Photo 1118/1(143)	IDP
Photo 1118/1(144)	IDP
Photo 1118/1(145)	IDP
Photo 1118/1(146)	IDP
Photo 1118/1(147)	IDP
Photo 1118/1(148)	IDP
Photo 1118/1(149)	IDP
Photo 1118/1(150)	IDP
Photo 1118/1(151)	IDP
Photo 1118/1(152)	IDP
Photo 1118/1(153)	IDP
Photo 1118/1(154)	IDP
Photo 1118/1(156)	IDP
Photo 1118/1(157)	IDP
Photo 1118/1(158)	IDP
Photo 1118/1(159)	IDP
Photo 1118/1(160)	IDP
Photo 1118/1(161)	IDP
Photo 1118/1(162)	IDP
Photo 1118/1(163)	IDP
Photo 1118/1(164)	IDP
Photo 1118/1(165)	IDP
Photo 1118/1(166)	IDP
Photo 1118/1(167)	IDP
Photo 1118/1(168)	IDP
Photo 1118/1(169)	IDP
Photo 1118/1(17)	IDP
