Pressmark	Institute id
Add Or 3099	BL
Add Or 4670	BL
Add Or 4671	BL
Add Or 4672	BL
Add Or 4673	BL
Add Or 4674	BL
Add Or 4675	BL
Add Or 4676	BL
Add Or 4677	BL
Add Or 4678	BL
Add Or 4679	BL
Afrasiab	BL
BD10081	NLC
BD10082	NLC
BD11993	NLC
F 137	BL
F 139	BL
IOR/L/PS/7/1 ff.86-92	BL
IOR/L/PS/7/1 ff.93-112	BL
Kharakhoto	BL
Maps 51	BL
Maps 51820 (1)	BL
Maps 51820 (10)	BL
Maps 51820 (12)	BL
Maps 51820 (13)	BL
Maps 51820 (15)	BL
Maps 51820 (16)	BL
Maps 51820 (17)	BL
Maps 51820 (19)	BL
Maps 51820 (20)	BL
Maps 51820 (21)	BL
Maps 51820 (22)	BL
Maps 51820 (23)	BL
Maps 51820 (24)	BL
Maps 51820 (25)	BL
Maps 51820 (26)	BL
Maps 51820 (27)	BL
Maps 51820 (28)	BL
Maps 51820 (29	BL
Maps 51820 (29)	BL
Maps 51820 (3)	BL
Maps 51820 (30)	BL
Maps 51820 (31)	BL
Maps 51820 (32)	BL
Maps 51820 (33)	BL
Maps 51820 (34)	BL
Maps 51820 (35)	BL
Maps 51820 (36)	BL
Maps 51820 (37	BL
Maps 51820 (37)	BL
Maps 51820 (38)	BL
Maps 51820 (39)	BL
Maps 51820 (4)	BL
Maps 51820 (5)	BL
Maps 51820 (6)	BL
Maps 51995 (1)	BL
Maps 51995 (2)	BL
Maps 51995 (3)	BL
Maps 51995 (4)	BL
Maps 51995 (5)	BL
Maps 51995 (6)	BL
Maps 51995 (7)	BL
Maps 52000 (1)	BL
Maps 52000 (10)	BL
Maps 52000 (2)	BL
Maps 52000 (3)	BL
Maps 52000 (4)	BL
Maps 52000 (5)	BL
Maps 52000 (6)	BL
Maps 52000 (7)	BL
Maps 52000 (8)	BL
Maps 52000 (9)	BL
Or.8210/S.715	BL
Pel. C 10	BNF
Pel. C 100a	BNF
Pel. C 100b	BNF
Pel. C 100c	BNF
Pel. C 100d	BNF
Pel. C 100e	BNF
Pel. C 101a	BNF
Pel. C 101b	BNF
Pel. C 101c	BNF
Pel. C 101d	BNF
Pel. C 102a	BNF
Pel. C 102b	BNF
Pel. C 102c	BNF
Pel. C 102d	BNF
Pel. C 102e	BNF
Pel. C 102f	BNF
Pel. C 102g	BNF
Pel. C 102h	BNF
Pel. C 102i	BNF
Pel. C 102j	BNF
Pel. C 102k	BNF
Pel. C 102l	BNF
Pel. C 102m	BNF
Pel. C 103a	BNF
Pel. C 103b	BNF
Pel. C 103c	BNF
Pel. C 103d	BNF
