Pressmark	Subsite id	site id
Or.8212/511	L.M.I.i.	
Or.8212/1829	32	
Or.15007/748	H.149	
Or.15007/749	H.149	
Or.15007/750	H.149	
Or.15009/648	H.149	
Or.15009/648B	H.149	
Or.15010/1	H.143	
Or.15010/2	H.143	
Or.15010/3	H.143	
Or.15010/4	H.143	
Or.15010/5	H.149	
Or.15010/6	H.143	
Or.15010/7	H.149	
Or.15010/8	H.149	
Or.15010/9	H.149	
Or.15010/10	H.149	
Or.15010/11	H.149	
Or.15010/12	H.142	
Or.15010/13	H.143	
Or.15010/14	H.143	
Or.15010/15	H.143	
Or.15010/16	H.142	
Or.15010/17	H.143	
Or.15010/18	H.143	
Or.15010/19	H.142	
Or.15010/20	H.143	
Or.15010/21	H.143	
Or.15010/22	H.143	
Or.15010/23	H.143	
Or.15010/24	H.143	
Or.15010/25	H.142	
Or.15010/26	H.143	
Or.15010/27	H.144	
Or.15010/31	H.143	
Or.15010/32	H.143	
Or.15010/33	H.143	
Or.15010/34	H.143	
Or.15010/35	H.143	
Or.15010/36	H.143	
Or.15010/37	H.142	
Or.15010/38	H.143	
Or.15010/39	H.143	
Or.15010/40	H.142	
Or.15010/41	H.143	
Or.15010/42	H.144	
Or.15010/43	H.142	
Or.15010/44	H.143	
Or.15010/45	H.142	
Or.15010/46	H.143	
Or.15010/47	H.142	
Or.15010/48	H.143	
Or.15010/49	H.143	
Or.15010/50	H.142	
Or.15010/51	H.143	
Or.15010/52	H.143	
Or.15010/53	H.143	
Or.15010/54	H.143	
Or.15010/55	H.143	
Or.15010/56	H.142	
Or.15010/57	H.144	
Or.15010/58	H.144	
Or.15010/59	H.142	
Or.15010/60	H.143	
Or.15010/61	H.144	
Or.15010/62	H.144	
Or.15010/63	H.143	
Or.15010/64	H.143	
Or.15010/65	H.143	
Or.15010/66	H.143	
Or.15010/67	H.147	
Or.15010/68	H.143	
Or.15010/69	H.147	
Or.15010/70	H.143	
Or.15010/71	H.143	
Or.15010/72	H.147	
Or.15010/73	H.142	
Or.15010/74	H.142	
Or.15010/75	H.143	
Or.15010/76	H.143	
Or.15010/77	H.143	
Or.15010/78	H.144	
Or.15010/79	H.143	
Or.15010/80	H.143	
Or.15010/81	H.143	
Or.15010/82	H.142	
Or.15010/83	H.143	
Or.15010/84	H.143	
Or.15010/85	H.143	
Or.15010/86	H.143	
Or.15010/87	H.142	
Or.15010/88	H.143	
Or.15010/89	H.143	
Or.15010/90	H.143	
Or.15010/91	H.142	
Or.15010/92	H.143	
Or.15010/93	H.143	
IOL Khot S 29	Not recorded	
Or.8212/69(1)	42	
Or.8212/73 labels	307	
MAS.8	Yo.	
Or.15003/262	H.156	
1907,1111.40	B.	
Or.15009/62	H.149	
IOL San 866	79	
Or.15003/1	H.156	
Or.15003/2(a)	H.156	
Or.15010/94	H.143	
Or.15001/1	H.151	
Or.15001/2	H.151	
Or.15001/3	H.151	
Or.15001/4	H.151	
Or.15001/5	H.151	
Or.15001/6	H.151	
Or.15001/7	H.151	
Or.15001/8	H.151	
Or.15001/9	H.151	
Or.15001/10	H.151	
Or.15001/11	H.151	
Or.15001/12	H.151	
Or.15001/13	H.151	
