Pressmark	Institute id	institute name Value
Dunhuang Limes	BL	INST001829
F-105	IOS	
F-32/4	IOS	
IOL San 2847	BL	INST001829
IOL San 2848	BL	INST001829
IOL San 2849	BL	INST001829
IOL San 2850	BL	INST001829
IOL San 2851	BL	INST001829
IOL San 2852	BL	INST001829
IOL San 2853	BL	INST001829
IOL San 2854	BL	INST001829
IOL San 2855	BL	INST001829
IOL San 2856	BL	INST001829
IOL San 2857	BL	INST001829
IOL San 2858	BL	INST001829
IOL San 2859	BL	INST001829
IOL San 2860	BL	INST001829
IOL San 2861	BL	INST001829
IOL San 2862	BL	INST001829
IOL San 2863	BL	INST001829
IOL San 2864	BL	INST001829
IOL San 2865	BL	INST001829
IOL San 2866	BL	INST001829
IOL San 2867	BL	INST001829
IOL San 2868	BL	INST001829
IOL San 2869	BL	INST001829
IOL San 2870	BL	INST001829
IOL San 2871	BL	INST001829
IOL San 2872	BL	INST001829
IOL San 2873	BL	INST001829
IOL San 2874	BL	INST001829
IOL San 2875	BL	INST001829
IOL San 2876	BL	INST001829
IOL San 2877	BL	INST001829
IOL San 2878	BL	INST001829
IOL San 2879	BL	INST001829
IOL San 2880	BL	INST001829
IOL San 2881	BL	INST001829
IOL San 2882	BL	INST001829
IOL San 2883	BL	INST001829
IOL San 2884	BL	INST001829
IOL San 2885	BL	INST001829
IOL San 2886	BL	INST001829
IOL San 2887	BL	INST001829
IOL San 2888	BL	INST001829
IOL San 2889	BL	INST001829
IOL San 2890	BL	INST001829
IOL San 2891	BL	INST001829
IOL San 2892	BL	INST001829
IOL San 2893	BL	INST001829
IOL San 2894	BL	INST001829
IOL San 2895	BL	INST001829
IOL San 2896	BL	INST001829
IOL San 2897	BL	INST001829
IOL San 2898	BL	INST001829
IOL San 2899	BL	INST001829
IOL San 2900	BL	INST001829
IOL San 2901	BL	INST001829
IOL San 2902	BL	INST001829
IOL San 2903	BL	INST001829
IOL San 2904	BL	INST001829
IOL San 2905	BL	INST001829
IOL San 2906	BL	INST001829
IOL San 2907	BL	INST001829
IOL San 2908	BL	INST001829
IOL San 2909	BL	INST001829
IOL San 2910	BL	INST001829
IOL San 2911	BL	INST001829
IOL San 2912	BL	INST001829
IOL San 2913	BL	INST001829
IOL San 2914	BL	INST001829
IOL San 2915	BL	INST001829
IOL San 2916	BL	INST001829
IOL San 2917	BL	INST001829
IOL San 2918	BL	INST001829
IOL San 2919	BL	INST001829
IOL San 2920	BL	INST001829
IOL San 2921	BL	INST001829
IOL San 2922	BL	INST001829
IOL San 2923	BL	INST001829
IOL San 2924	BL	INST001829
IOL San 2925	BL	INST001829
IOL San 2926	BL	INST001829
IOL San 2927	BL	INST001829
IOL San 2928	BL	INST001829
IOL San 2929	BL	INST001829
IOL San 2930	BL	INST001829
IOL San 2931	BL	INST001829
IOL San 2932	BL	INST001829
IOL San 2933	BL	INST001829
IOL San 2934	BL	INST001829
IOL San 2935	BL	INST001829
IOL San 2936	BL	INST001829
IOL San 2937	BL	INST001829
IOL San 2938	BL	INST001829
IOL San 2939	BL	INST001829
IOL San 2940	BL	INST001829
IOL San 2941	BL	INST001829
IOL San 2942	BL	INST001829
IOL San 2943	BL	INST001829
IOL San 2944	BL	INST001829
IOL San 2945	BL	INST001829
IOL San 2946	BL	INST001829
IOL San 2947	BL	INST001829
IOL San 2948	BL	INST001829
IOL San 2949	BL	INST001829
IOL San 2950	BL	INST001829
IOL San 2951	BL	INST001829
IOL San 2952	BL	INST001829
IOL San 2953	BL	INST001829
IOL San 2954	BL	INST001829
IOL San 2955	BL	INST001829
IOL San 2956	BL	INST001829
IOL San 2957	BL	INST001829
IOL San 2958	BL	INST001829
IOL San 2959	BL	INST001829
IOL San 2960	BL	INST001829
IOL San 2961	BL	INST001829
IOL San 2962	BL	INST001829
IOL San 2963	BL	INST001829
IOL San 2964	BL	INST001829
IOL San 2965	BL	INST001829
IOL San 2966	BL	INST001829
IOL San 2967	BL	INST001829
IOL San 2968	BL	INST001829
IOL San 2969	BL	INST001829
IOL San 2970	BL	INST001829
IOL San 2971	BL	INST001829
IOL San 2972	BL	INST001829
IOL San 2973	BL	INST001829
IOL San 2974	BL	INST001829
IOL San 2975	BL	INST001829
IOL San 2976	BL	INST001829
IOL San 2977	BL	INST001829
IOL San 2978	BL	INST001829
IOL San 2979	BL	INST001829
IOL San 2980	BL	INST001829
IOL San 2981	BL	INST001829
IOL San 2982	BL	INST001829
IOL San 2983	BL	INST001829
IOL San 2984	BL	INST001829
IOL San 2985	BL	INST001829
IOL San 2986	BL	INST001829
MIK B 846	AKU	INST001975
Or.12380/891	BL	INST001829
Pelliot chinois 2003	BNF	INST001949
Pelliot chinois 2683	BNF	INST001949
Pelliot chinois 4031	BNF	INST001949
Pelliot chinois 4518 (1)	BNF	INST001949
Pelliot chinois 4518 (10)	BNF	INST001949
Pelliot chinois 4518 (11)	BNF	INST001949
Pelliot chinois 4518 (11)	BNF	INST001949
Pelliot chinois 4518 (13)	BNF	INST001949
WD 1347 f.12r	BL	INST001829
WD 1347 f.12v	BL	INST001829
WD 1347 f.18r	BL	INST001829
WD 1347 f.19r	BL	INST001829
WD 1347 f.7v	BL	INST001829
X717/Plate 10	BL	INST001829
X717/Plate 11	BL	INST001829
X717/Plate 12	BL	INST001829
X717/Plate 14	BL	INST001829
X717/Plate 15	BL	INST001829
X717/Plate 16	BL	INST001829
X717/Plate 17	BL	INST001829
X717/Plate 18	BL	INST001829
X717/Plate 19	BL	INST001829
X717/Plate 2	BL	INST001829
X717/Plate 20	BL	INST001829
X717/Plate 22	BL	INST001829
X717/Plate 23	BL	INST001829
X717/Plate 24	BL	INST001829
X717/Plate 25	BL	INST001829
X717/Plate 26	BL	INST001829
X717/Plate 27	BL	INST001829
X717/Plate 28	BL	INST001829
X717/Plate 29	BL	INST001829
X717/Plate 30	BL	INST001829
X717/Plate 4a	BL	INST001829
X717/Plate 4b	BL	INST001829
X717/Plate 5	BL	INST001829
X717/Plate 6	BL	INST001829
X717/Plate 7	BL	INST001829
X717/Plate 8	BL	INST001829
X717/Plate 9	BL	INST001829
